"theDate","opening","opening","highest","lowest","closing","volume","marketcap","CoinSymbol","CoinDesc"
"2018-12-24",0.00769995322493,0.00769995322493,0.00880400690563,0.00648931062744,0.00670301506869,458202.36,8512829.14,"FTM",""
"2018-12-31",0.00671207940688,0.00671207940688,0.00720263232951,0.00531297447204,0.00573093006725,642386.08,7278281.19,"FTM",""
"2019-01-01",0.0409842351,0.0409842351,0.05463648,0.0370436895,0.0383740437,22222102.46,994926537.96,"ADA",""
"2019-01-01",150.895778548,150.895778548,175.464138735,108.0881582,114.810190603,277744299.35,2020317794.3,"BCH",""
"2019-01-01",6.191431595,6.191431595,7.2467699391,5.4934209686,6.2684357748,52240450.57,809728264.27,"BNB",""
"2019-01-01",2.2130959344,2.2130959344,3.0916474543,1.2073705478,1.2574207281,23.42,499573.26,"ERG",""
"2019-01-01",133.418144908,133.418144908,160.824889089,103.336465552,107.061013064,2828796030.76,11204735502.2,"ETH",""
"2019-01-01",0.0382235662,0.0382235662,0.069483011,0.0325776276,0.0408271823,35614.8,2785255,"SNX",""
"2019-01-01",0.0347795312,0.0347795312,0.0451332844,0.0228634444,0.0247010441,125374.25,1440884.5,"SOUL",""
"2019-01-01",0.0209666713,0.0209666713,0.0246893712,0.0177583263,0.0192764864,5278.62,5502318.76,"TRAC",""
"2019-01-01",1.0189458668,1.0189458668,1.044891531,0.9891688257,1.0124848392,30016994.15,297790025,"USDC",""
"2019-01-01",0.00071095267902,0.00071095267902,0.00082843196933,0.00048195426295,0.00066562166883,165959.53,2579766.25,"XDC",""
"2019-01-01",0.4630727847,0.4630727847,0.5054626416,0.3666345207,0.378969116,2498650.19,230219584.78,"XTZ",""
"2019-01-07",0.00569996094358,0.00569996094358,0.00632334605008,0.00482216646163,0.00486778501798,273558.73,6182086.97,"FTM",""
"2019-01-14",0.00483625764072,0.00483625764072,0.00514337667022,0.00447688878385,0.00454696339482,307152.39,5774643.51,"FTM",""
"2019-01-21",0.00456018230398,0.00456018230398,0.00464656019508,0.00371392876333,0.00371392876333,271545.5,4716689.53,"FTM",""
"2019-01-28",0.00371541834218,0.00371541834218,0.00395864423005,0.00311540540425,0.00319750125103,253949.1,4060826.59,"FTM",""
"2019-02-01",0.0384414868,0.0384414868,0.050460091,0.0360598888,0.0431234431,14678619.01,1118064551.77,"ADA",""
"2019-02-01",114.799124622,114.799124622,157.646929236,111.838694411,132.186970127,281575850.92,2332748074.93,"BCH",""
"2019-02-01",6.2641423472,6.2641423472,11.3237735009,6.1722954174,10.3651777001,100626963.28,1463309043.26,"BNB",""
"2019-02-01",1.2569524799,1.2569524799,8.1841841745,0.91097377,2.0949969809,36.34,832342.3,"ERG",""
